price;Storage_Level;Feed_in;Feed_out;hourly_profit;profit_acc;
    18.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;
    20.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;
    17.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;
    16.00000;     0.00000;     0.00000;     0.00000;     0.00000;     0.00000;
     8.00000;     0.00011;     0.00011;     0.00000;    -0.00102;    -0.00102;
     0.00000;     0.25011;     0.25000;     0.00000;     0.00000;    -0.00102;
     4.00000;     0.50009;     0.25000;     0.00000;    -1.21212;    -1.21314;
     1.00000;     0.75005;     0.25000;     0.00000;    -0.30303;    -1.51617;
     8.00000;     1.00000;     0.25000;     0.00000;    -2.42424;    -3.94041;
     9.00000;     1.00000;     0.00007;     0.00000;    -0.00076;    -3.94118;
    19.00000;     0.99993;     0.00000;     0.00000;     0.00000;    -3.94118;
    22.00000;     0.75011;     0.00000;     0.24975;     5.49461;     1.55343;
    19.00000;     0.75005;     0.00000;     0.00000;     0.00000;     1.55343;
    18.00000;     1.00000;     0.25000;     0.00000;    -5.45455;    -3.90111;
    19.00000;     1.00000;     0.00007;     0.00000;    -0.00161;    -3.90272;
    23.00000;     1.00000;     0.00007;     0.00000;    -0.00195;    -3.90468;
    38.00000;     0.74993;     0.00000;     0.25000;     9.50000;     5.59532;
    41.00000;     0.49988;     0.00000;     0.25000;    10.25000;    15.84532;
    38.00000;     0.25011;     0.00000;     0.24974;     9.49002;    25.33535;
    37.00000;     0.25009;     0.00000;     0.00000;     0.00000;    25.33535;
    29.00000;     0.50007;     0.25000;     0.00000;    -8.78788;    16.54747;
    40.00000;     0.25004;     0.00000;     0.25000;    10.00000;    26.54747;
    35.00000;     0.25002;     0.00000;     0.00000;     0.00000;    26.54747;
    39.00000;     0.00000;     0.00000;     0.25000;     9.75000;    36.29747;
    29.00000;     0.00000;     0.00000;     0.00000;     0.00000;    36.29747;
    24.00000;     0.00011;     0.00011;     0.00000;    -0.00306;    36.29442;
    22.00000;     0.25011;     0.25000;     0.00000;    -6.66667;    29.62775;
    19.00000;     0.50009;     0.25000;     0.00000;    -5.75758;    23.87017;
    21.00000;     0.75005;     0.25000;     0.00000;    -6.36364;    17.50654;
    20.00000;     1.00000;     0.25000;     0.00000;    -6.06061;    11.44593;
    32.00000;     1.00000;     0.00007;     0.00000;    -0.00272;    11.44322;
    34.00000;     1.00000;     0.00007;     0.00000;    -0.00288;    11.44033;
    38.00000;     0.99993;     0.00000;     0.00000;     0.00000;    11.44033;
    41.00000;     0.99986;     0.00000;     0.00000;     0.00000;    11.44033;
    44.00000;     0.99979;     0.00000;     0.00000;     0.00000;    11.44033;
    47.00000;     0.74972;     0.00000;     0.25000;    11.75000;    23.19033;
    41.00000;     0.74967;     0.00000;     0.00000;     0.00000;    23.19033;
    40.00000;     0.74962;     0.00000;     0.00000;     0.00000;    23.19033;
    37.00000;     0.99956;     0.25000;     0.00000;   -11.21212;    11.97821;
    39.00000;     0.99949;     0.00000;     0.00000;     0.00000;    11.97821;
    50.00000;     0.74942;     0.00000;     0.25000;    12.50000;    24.47821;
    60.00000;     0.49937;     0.00000;     0.25000;    15.00000;    39.47821;
    56.00000;     0.24934;     0.00000;     0.25000;    14.00000;    53.47821;
    45.00000;     0.00000;     0.00000;     0.24932;    11.21930;    64.69751;
    40.00000;     0.00000;     0.00000;     0.00000;     0.00000;    64.69751;
    44.00000;     0.00000;     0.00000;     0.00000;     0.00000;    64.69751;
    41.00000;     0.00000;     0.00000;     0.00000;     0.00000;    64.69751;
    34.00000;     0.00000;     0.00000;     0.00000;     0.00000;    64.69751;
    32.00000;     0.00000;     0.00000;     0.00000;     0.00000;    64.69751;
    29.00000;     0.00000;     0.00000;     0.00000;     0.00000;    64.69751;
    27.00000;     0.00000;     0.00000;     0.00000;     0.00000;    64.69751;
    22.00000;     0.00011;     0.00011;     0.00000;    -0.00280;    64.69471;
    18.00000;     0.25011;     0.25000;     0.00000;    -5.45455;    59.24016;
     7.00000;     0.50009;     0.25000;     0.00000;    -2.12121;    57.11895;
    19.00000;     0.75005;     0.25000;     0.00000;    -5.75758;    51.36138;
    21.00000;     1.00000;     0.25000;     0.00000;    -6.36364;    44.99774;
